lvl	Key	Value
>	Teaser	A hump of dark rock swathed in mist, like a hundred other Unterzee islands...
>>	Description	They will have heard your ship come in. Why hide?
>>>	Description	A maid with smouldering topaz eyes shows you into the parlour where three young women wait.\r\n\r\n "A visitor!" the youngest cries. The next youngest chuckles. The eldest sighs. "Do excuse the indecorum," she says. "Visitors are rare. You are very welcome. I am Cynthia: the noisy one is Phoebe, the cheerful one is Lucy. You are in good time for lunch. Will you join us?"
>>>	Teaser	A maid with smouldering topaz eyes shows you into the parlour where three young women wait...
>>>	Name	Knock, and enter
>>	Name	Present yourself at the house
>>	Description	Take a couple of burly zailors with you, just in case. But the gardens are tranquil as moonlight.
>>>	Description	The lawns are neatly trimmed, and the night-flowers of the Neath bloom here in profusion. You watch the hedgerows, but nothing comes to menace you. You can savour the peace -\r\n\r\nThere is a pointed cough from the shadow of a potting-shed. An angular woman in a maid's uniform - her eyes a peculiar sulphurous yellow - advances, frowning. She indicates the house, turns on her heel, and leaves.
>>>	Teaser	The lawns are neatly trimmed, and the night-flowers of the Neath bloom here in profusion...
>>	Name	Walk in the gardens
>>	Description	Cynthia is the eldest: melancholy, pensive, occasionally dramatic.
>>>	Description	Cynthia grasps your arm and whispers to you. Her eyes are wide and blue: her hair is wild and tangled. Bats might nest in it. It seems to you that you are sitting on a hillside, above a wide blue lake, listening to a story of a murder. An axe. A net. Blood on scented water.\r\n\r\n"Another chop?" Cynthia asks. "You've barely touched your food. Here. I'll have the maid wrap something up for you. You can't be hungry. It's not safe to be hungry."
>>>	Teaser	Cynthia grasps your arm and whispers to you...
>>	Name	Luncheon with the sisters: Cynthia
>>	Description	Lucy, the middle sister, is sunny, restless, prone to giggles.
>>>	Description	Lucy leans over and whispers to you confidentially: a complex story about a butler, a pig and an inheritance. You don't follow all the details of the plot, but somehow the pig ends up in an attic and the butler in a vicar's bed. Candles flicker, dishes enter and leave, and the wind butts gently at the window-panes. By the time the plum-pudding arrives, you're as cheerful as you've been in months.
>>>	Teaser	Lucy leans over and whispers to you confidentially: a complex story about a butler, a pig and an inheritance...
>>>	Name	A daft tale
>>	Name	Luncheon with the sisters: Lucy
>>	Description	Phoebe is soft-voiced, watchful, unpredictable.
>>>	Description	Phoebe has a story to tell: of two lovers parted by water, of a raven that carried messages, of a fragment of the moon. She beats time on the table as she speaks, as if to a song only she can hear. The effect is hypnotic.\r\n\r\nYour attention drifts, out through the skylight of the dining room, to the false-stars glittering in the roof of the cavern. You drift like a puffball-spore. The Unterzee shimmers below. Islands lie like mineral specimens on black velvet. Ships bob like wood-chips between the islands. Vast spined things pulse in the depths. There is a scent like the scent before a storm...\r\n\r\n"The storm came," says Phoebe quietly. "Everything changed." Somewhere in there, you finished the last course. The scowling maid reluctantly serves cheese and Bath Oliver biscuits.
>>>	Teaser	Phoebe has a story to tell: of two lovers parted by water, of a raven that carried messages, of a fragment of the moon...
>>>	Name	Here's a story
>>	Name	Luncheon with the sisters: Phoebe
>>	Description	The parlour is empty. Where are the sisters?
>>>	Description	The maid makes it clear, through a series of unwelcoming growls, that Phoebe, Lucy and Cynthia are all three 'indisposed'. No lunch today, apparently.
>>>	Teaser	The maid makes it clear, through a series of unwelcoming growls, that Phoebe, Lucy and Cynthia are all three 'indisposed'...
>>	Name	Not receiving visitors?
>>	Description	Even when the sisters aren't feeling sociable, they can be tempted out of their lair by the smell of new stories.
>>>	Description	You ask the sulphur-eyed maid to carry a few hints of your news to the sisters. Oddly enough, she comes back with a message that their headaches are cured, and you're invited to lunch...
>>>	Teaser	You ask the sulphur-eyed maid to carry a few hints of your news to the sisters...
>>>	Name	Knock and wait
>>	Name	News! News!
>>	Description	Plunging cliffs, soft green lawns. A well tucked away in a fold of the grounds. Anything else?
>>>	Description	Ships rarely come here; nothing changes, even the weather. The house is the heart of the isle: the house, and the sisters. But the Admiralty may be happy to know that nothing's changed, at least.
>>>	Teaser	Ships rarely come here; nothing changes, even the weather...
>>>	Name	The sea's silence
>>	Name	Reconnoitre the island
>>	Description	Fertile ground for little purple people.
>>>	Description	A flash of deep violet, and the blemmigan is gone. Perhaps the sisters of the Keep will find the creature, or its spawn. Perhaps they'll keep it as a pet. Perhaps they'll make a pie.
>>>	Teaser	A flash of deep violet, and the blemmigan is gone...
>>>	Name	Into the hedgerows
>>	Name	Put a blemmigan ashore
>>	Description	"We will need," the Mechanic tells the sisters, "to visit your sub-cellar - "\r\n\r\n"Oh, that nasty place," Lucy says airily (a little hastily?). "Yes, we'll take you down there." She smiles. "But we'll need stories. Something alarming for Cynthia. A zee-ztory for Phoebe. And a tale of distant places for me."
>>>	Description	The sisters listen with delight to your stories, and unlock the cellar door for you. The key is so heavy that Cynthia can only lift it with both hands. "We won't go in," she says. "We don't go in."\r\n\r\nThe signs on the stones have a Khaganian look. In the deepest sub-cellar, your candles illuminate a litter of tumbled stones - the remnants of a temple. The pool at the cellar's centre is almost dry. The remaining water there seethes oddly in the candle-light, as if it were near boiling, but it's quite cool to the touch.\r\n\r\n"The Writhing River flows near here," the Mechanic remarks. "One of the tributaries of dream. (I hope it doesn't touch the well those poor girls drink from.) My enemies find me when I sleep - but this water will attract my enemies to this poor fellow."\r\n\r\nHe bends to dip his hand in the water and sketches a sign on the Clay Man's forehead. The Man watches him stolidly. The Mechanic hands him the Mirrorcatch Box. "Hold this," he says. "Keep it open. Don't let go, no matter what happens." The Clay Man's huge hands enfold the box.\r\n\r\n"There," the Mechanic says, turning to you. "A serpent-trap. Now, I can sleep. I can finally sleep." He smiles. "And then I think I may be able to offer you something rather interesting." [Speak to the Mechanic on board ship to advance the story further.]
>>>	Teaser	The sisters listen with delight to your stories, and unlock the cellar door for you...
>>>	Name	Beneath Hunter's Keep
>>	Name	Visit the cellar
>>	Description	Explain what you found, and what you refused to find.
>>>	Description	"You were there, and you came back with nothing?" Her anger is more than a performance. "It is wrong in my Brother, very wrong, to withhold his confidence from me! Why, I could be helping him -- could be comforting him -- could be lending him solace, if only he would allow me to do so!" She dabs her face with a balled handkerchief.
>>>	Teaser	"You were there, and you came back with nothing?
>>>	Name	She is not delighted
>>	Name	Find the Imperious Sister
>>	Description	She offers a smooth wrist, and does not flinch.
>>>	Description	Afterward, she rubs her wrist. "I was certain he had fathered a Deviless' child. I had steeled myself to meet the yellow-eyed creature, and offer it a respectable home. But this! He kept sleepless watches over a pile of burned paperwork?"\r\n\r\nIn a half-wondering voice, she adds: "He is right. The secret has made me think the less of him. What a wormy little man, my Brother." She straightens her gloves and walks away.
>>>	Teaser	Afterward, she rubs her wrist...
>>>	Name	Only this?
>>	Name	Deliver her Brother's regret, in Needle form
>>	Description	It may be less daunting than the regret in spine form.
>>>	Description	When she returns, she is deflated. "I was certain the trouble ran deeper. I thought -- if I may confess? but I feel I have no more secrets from you! -- I thought he had fathered a Deviless' child. I had steeled myself to meet the yellow-eyed creature, and offer it a respectable home. But this! He kept sleepless watches over a pile of burned paperwork?"\r\n\r\nIn a half-wondering voice, she adds: "He is right. The secret has made me think the less of him. What a wormy little man, my Brother." She straightens her gloves and walks away.
>>>	Teaser	When she returns, she is deflated...
>>>	Name	She is gone for some minutes, inhabiting the memories
>>	Name	Deliver the Brother's Regret, in the form of red honey
>>	Description	It lies on the shore, just beyond a hill. You can just make out the fluke's spikes over the grass.
>>>	Description	The Anxious Student rushes by you, whooping - but he stops on the hilltop. On the shore, standing before the mass of dead needles, is a Drownie in a Nuncian postal uniform. He glowers up at you. "This is not where the fluke belongs," the Drownie cries in a plummy voice. "It's to be taken else where. It already has a delivery label - that means I have to deliver it."\r\n\r\nThe Student sneers. "Sod your label! [q:Addressed As], help me haul the beast to Station III. My adviser at the college has arranged room there for its dissection and study. My work will benefit us all." 
>>>	Teaser	The Anxious Student rushes by you, whooping - but he stops on the hilltop...
>>	Name	Inspect the Lorn-Fluke with the Anxious University Student
>>	Description	This place may not be as simple as it seems.
>>>	Description	You peer through a half-open French window into a grand parlour: grand in size, if a little reduced in style by dust and neglect. A dark-haired, pale-skinned young woman bends earnestly over a piano keyboard. Another, fair-haired but unmistakably her sister, sprawls on the sofa with a book. A third sits by the fireplace, staring sorrowfully into the embers.\r\n\r\nA log pops, and the woman by the fire gives a violent start. You cannot restrain a start of your own, and her eyes meet yours through the glass. She claps her hand to her mouth in shock. There is nothing to do but step apologetically into the room.\r\n\r\n "A visitor!" the pianist - the youngest - cries. The next youngest chuckles. The eldest, who you frightened, sighs. "Excuse us," she says. "Visitors are rare. You are very welcome. I am Cynthia: the noisy one is Phoebe, the cheerful one is Lucy. You are in good time for lunch. Will you join us?"
>>>	Teaser	You peer through a half-open French window into a grand parlour: grand in size, if a little reduced in style by dust and neglect...
>>>	Name	Three sisters.
>>	Name	Spy on the house
>>>	Description	You peer through a half-open French window into a grand parlour: grand in size, if a little reduced in style by dust and neglect. A dark-haired, pale-skinned young woman bends earnestly over a piano keyboard. Another, fair-haired but unmistakably her sister, sprawls on the sofa with a book. A third sits by the fireplace, staring sorrowfully into the embers.\r\n\r\n"Soon," she says, and the piano music falters and stops. "We'll go hungry, and then the end will come, for me but not for you."\r\n\r\nThe pianist raises her eyes from the keyboard. "Hush! If we don't speak of it - " She frowns. Has she seen you at the window? You withdraw.
>>>	Teaser	You peer through a half-open French window into a grand parlour: grand in size, if a little reduced in style by dust and neglect...
>>>	Name	Piano music drifts across the terrace
>	Name	Hunter's Keep
>	Description	This is the port of Visage, where faces may not be naked. Except one: a stone monument the size of a village church, serenely gazing upwards. Flourishing-of-Years.
>	Teaser	This is the port of Visage, where faces may not be naked...
>>	Description	Inward and upward. [Once you set foot on Visage, you may be here for a little while.]
>>>	Description	"All those who enter must play their parts." The sign is visible only after you've crossed the threshold.
>>>	Teaser	"All those who enter must play their parts...
>>>	Name	Terms
>>	Name	Go ashore
>>	Description	You can at least interview those who are leaving.
>>>	Description	A departing merchant gives you a confused account of crocodiles and honey-cakes and something about... ear blockage?\r\n\r\nTo this you add your own impressions about the street layout close to port and the types of commerce here. When the lights are especially bright, it is possible to make out the details of the profile of that great stone face.
>>>	Teaser	A departing merchant gives you a confused account of crocodiles and honey-cakes and something about...
>>>	Name	That will have to do
>>	Name	Create a Port Report
>>	Description	The blemmigan wraps its tendrils around your fingers, buries its fleshy dome in your palm. What does it want?
>>>	Description	The blemmigan is oddly shy; it sidles onto the quay with obvious reluctance. It puts on a burst of speed to hide under a damaged, discarded mask - resting in a refuse heap with fish heads and broken tackle. The bulging-eyed shell gives it confidence - if not grace: it departs at speed, bouncing into a buoy waiting for repairs, recoiling off an unused engine.
>>>	Teaser	The blemmigan is oddly shy; it sidles onto the quay with obvious reluctance...
>>>	Name	An apt shelter
>>	Name	Put a blemmigan ashore
>>	Description	He glances nervously back at the face in the hill, but his handshake is strong.
>>	Name	A Wandering Parson
>	Name	Visage
>	Description	Fear has a cloak of trailing mist. Fear whispers your name. The Calendar Council, that master-cell of anarchists, is on the rise: and they have you to thank for it.
>	Teaser	Fear has a cloak of trailing mist...
>>	Description	What has happened?
>>>	Description	The Calendar Council, they say, dislikes light. Shops prefer to conduct their business without lamps, or they might find their windows broken and wares confiscated. Parliament still sits, but they do so in lampless hush. The Admiralty has locked its doors: the Navy, what's left of it, has gone to ground.\r\n\r\nWhen you return to your lodgings, a package awaits you. A note reads FOR THE LIBERATION. Someone is grateful.
>>>	Teaser	The Calendar Council, they say, dislikes light...
>>>	Name	Everything and nothing
>>	Name	Explore that darkness
>	Name	Fear walks the streets of London
>	Description	Once, this simple fishing village was part of the London suburbs, before London fell and the waters rushed in. Smoke spirals from cottage chimneys. A lonely hill rises behind town.
>	Teaser	Once, this simple fishing village was part of the London suburbs, before London fell and the waters rushed in...
>>	Description	Wander a little way along the shore from the dock.
>>	Name	Explore the shore
>>>	Description	Tonight they're serving Rubbery Lumps, the Mutton Island way! They make them down in London, but they're not the same. These are like gristle if gristle could be golden. Saltier than any decent food should be, but somehow you can't stop eating them.\r\n\r\n"It's the well water, see," slurs a young man who has been making friends with cider. "Can't make proper Rubbery Lumps without a proper well. Stands to reason. We look after the well here. Treat it right. And the Drowned Man looks after us." The landlord comes over, slaps the young fellow, and takes his cider away.
>>>	Teaser	Tonight they're serving Rubbery Lumps, the Mutton Island way! - 
>>>	Name	Fresh Rubbery Lumps
>>	Description	There's only one public house on the island. The Cock and Magpie is famed for its local cider and, of course, the zee-food. 
>>>	Description	The trees of the Neath are scraggly and wretched - scraping a living with parasynthesis - but the apples of Mutton Island are tart and powerful, perfect for zider. Zider? Cider! This stuff is stronger than it looks. You stretch out in your seat, stare through the leaded window at your safely moored ship, and find yourself whistling. The landlord gives you a friendly grin and goes back to whetting his cleaver.
>>>	Teaser	The trees of the Neath are scraggly and wretched - scraping a living with parasynthesis - but the apples of Mutton Island are tart and powerful, perfect for zider...
>>>	Name	Cider and cave-dory
>>	Name	Drinks at the Cock and Magpie
>>	Description	Wander a little way along the shore from the dock.
>>	Name	Explore the shore
>>	Description	Wander a little way along the shore.
>>	Name	Explore the shore
>>	Description	Wander a little way along the shore from the dock.
>>	Name	Explore the shore
>>	Description	They sail the zee around the island: they mend their nets by the harbour. They see all that happens here, but you'll need coin to open their mouths.
>>>	Description	Pirates plying the waves. Smugglers at their work. Khanate ships putting in to resupply. Nothing dramatic, but enough to interest the Admiralty.
>>>	Teaser	Pirates plying the waves...
>>>	Name	Little ships and little secrets
>>	Name	Chat to the fishermen
>>	Description	"Mrrow. Mrrrowww." A yellow-eyed, mangy, piebald thing winds around your ankles like a manacle-chain. You've never seen a cat's mouth open that wide. Presumably it's hungry. [This is a Mascot, one variety of Officer.]
>>>	Description	It jumps down from your arms and disappears into the darkness of the ship. An hour later, five brutally executed rats are found on the foredeck. [Appoint your new Mascot by dragging him from the Officers tab to his slot at the top of the screen. If you do this at sea rather than in port, you may affect crew morale.]
>>>	Teaser	It jumps down from your arms and disappears into the darkness of the ship...
>>>	Name	What's that smell?
>>	Name	Pick up a Wretched Mog
>>	Description	Fertile, quiet and occasionally boggy: Mutton Island is perfect blemmigan country.
>>>	Description	A fisherman watches the violet shape scurry off down the beach. "'Tain't right," she says severely. "'Tain't natural. Worse than dandelions."
>>>	Teaser	A fisherman watches the violet shape scurry off down the beach...
>>>	Name	Disapproval
>>	Name	Put a blemmigan ashore
>>	Description	Wander a little way along the shore from the dock.
>>	Name	Explore the shore
>>	Description	Wander a little way along the shore from the dock.
>>	Name	Explore the shore
>>	Description	The Cheery Man's fellow is drinking in the pub.
>>>	Description	"Our little lost birdie? Well, there's a thing. You have my patron's thanks and here is your reward what was promised and is well deserved."\r\n\r\n"Only fing is, there's only two folks what might have his Cheeriness' property, and that's the one what stole it, and the one what bought it and figured they could sell it back like indeed you are doing right here. So, and it's nothing personal, mind, I'm afraid I must break something. Little warning to any others out there who might be thinking of being clever. Tell you what, how's about we make it fair? Use the coin. Heads or legsies?"\r\n\r\nHe flips it. High. Almost to the rafters. Rather than waiting for it to fall, you punch him hard in the face. The pub's clientele grumbles, but are soon mollified by free drinks all round. Paid for with the money in the chap's pocket of course, leaving a little for yourself.
>>>	Teaser	"Our little lost birdie?
>>>	Name	No good deed
>>	Name	A delivery for Mr Sacks
>>	Description	He glances nervously back at the Cock and Magpie, but his handshake is strong.
>>	Name	A Wandering Parson
>>	Description	There's not much wind on the Unterzee. But Mutton Island suffers eery gusts and buffets from an inexplicably local fragment of weather, and the air on the hilltop sometimes carries interesting scents...
>>>	Description	You stand on a cliff-top, looking over the little whitewashed village. Smoke from the chimney of the Cock and Magpie drifts straight upwards. As you watch, the smoke tilts. The sudden wind thins it to a pencil smudge, then nothing. The wind screams unexpectedly, like a god cut in half.\r\n\r\nThe scream subsides, giving way to a susurrus that surrounds you suddenly with the illusion of whispering voices. You could swear you hear words - 'in the depths', 'under seven poles', 'nowhere nowhere nowhere nowhere...'\r\n\r\nIt must be the caves around the island channeling the air. At least, that's the most comforting explanation. Below you, the locals each take nips from a shared flask and make a toast towards the mainland. The wind is a Southerly.
>>>	Teaser	You stand on a cliff-top, looking over the little whitewashed village...
>>>	Name	The voice of the wind
>>>	Description	You stand on the cliff-top, looking over the Island's village. Smoke from the chimneys of the Cock and Magpie drifts straight upwards. There's not a breeze to ruffle your hair nor to lift your collar. Below you, a young woman carries what could be real flowers, handing them out with a curtsey to everyone she meets.
>>>	Teaser	You stand on the cliff-top, looking over the Island's village...
>>>	Name	Peace
>>	Name	Visit the hilltop above town
>>>	Description	You stand on a cliff-top, looking over the little village. Smoke from the chimney of the Cock and Magpie drifts straight upwards. As you watch, the smoke tilts. The sudden wind thins it to a pencil smudge, then nothing. The wind screams unexpectedly, like a god cut in half.\r\n\r\nWhat a noise! It must be the caves around the island channelling the air. At least, that's the most comforting explanation. Below you, the locals each take nips from a shared flask and make a toast towards the mainland. The wind is a Southerly.
>>>	Teaser	You stand on a cliff-top, looking over the little village...
>>>	Name	Toasting the wind
>>	Description	A warm night on Mutton Island. A balmy wind blows from the East, rich with promise. There are torches bobbing up the hill. Whatever's happening, it's for locals only, but you could follow them.
>>>	Description	You don't know the hill paths like the locals do, and you have to climb more than walk. Your skin is sheened with sweat by the time you reach the top. The black rocks greet you with empty indifference. If something happened up here, you're too late to see it. Still, the climb was good practice.
>>>	Teaser	You don't know the hill paths like the locals do, and you have to climb more than walk...
>>>	Name	Too late
>>	Name	A midnight ceremony?
>>>	Description	You don't know the cliff paths like the locals do, and you have to climb more than walk. Your skin is sheened with sweat by the time you reach the top. They've started without you. How rude.\r\n\r\nAn elderly fellow wears a feathered head-dress and not much else: he seems to be leading the ceremony. One assistant holds an ear of corn (where did he find that down here?), another a stone jug, another a clay tablet. The elderly priest addresses them all to his congregation.\r\n\r\nYou catch snatches of it: "The Drowned Man is not a god." (The villagers hiss a reply.) "He came from the North, and to the North he will return." (Another reply.) "The North is too cold for gods." ("Too cold for gods," they intone delightedly.)\r\n\r\nFinally, they nod in agreement. The circle turns as one to grab one of their number, a man (or woman?) with a lamp. They carry him (or possibly her) to the precipice and hurl the flailing body over the edge, down into the oily black waves far below.\r\n\r\nTheir business done, the locals remove their robes and wander amiably back to town. They all seem quite jolly. Apparently the night's business went well. They retreat to the Cock and Magpie for a pint.
>>>	Teaser	You don't know the cliff paths like the locals do, and you have to climb more than walk...
>	Name	Quaker's Haven (RETIRED)
>	Description	Taciturn Clay Men. Evasive clothes-colonies, walking like humans. Cobbles that groan underfoot. On the hills above, a palace-villa of marble - but even that writhes like buried bones in an earthquake.
>	Teaser	Taciturn Clay Men...
>>>	Description	Roads roil, bricks quiver.The windows of all the buildings flash like eyes. The palace above the city swells and roars. This convulsion is how Clay Men are born. Even now, somewhere below, they open their blind-seeming grey eyes.
>>>	Teaser	Roads roil, bricks quiver...
>>>	Name	The city cries out
>>	Description	What news from Polythreme?
>>>	Description	The King with a Hundred Hearts rules from his palace above the city. He is never seen. He makes no treaties with other lands. But there's unrest in the air. The Clay Men you speak to are obedient and humble, but they speak nervously of those who are not: the maimed, the rebellious, the Unfinished...
>>>	Teaser	The King with a Hundred Hearts rules from his palace above the city...
>>>	Name	What lives
>>	Name	Gather intelligence
>>	Description	Drink beer that wails from cups that sob. If you like that sort of thing. [Polythreme is an expensive place to reduce Terror.]
>>>	Description	Under other circumstances, your crew might have been happier.
>>>	Teaser	Under other circumstances, your crew might have been happier...
>>>	Name	An uneasy respite
>>	Name	Shore leave!
>>	Description	Your contact waits at the Whistling Eye: a masked bundle of grimy satin. The light here is poor, but it seems to have more gloves than it should.
>>>	Description	"Please," wheezes a voice from within the mounds of clothing, "take it. I need to pay my debt." It seems that the clothes - mostly gloves, you see - are more wearing than being worn. The pale and sweating fellow within is a prisoner of his wardrobe! Take the report, though your fingers may shrink from the touch of the living cloth that binds him. Return it to London, and perhaps you'll help him pay what debt he owes.
>>>	Teaser	"Please," wheezes a voice from within the mounds of clothing, "take it...
>>>	Name	A muttered plea
>>	Name	A contact-colony
>>	Description	A great temple has been wounded. It will be years in the dying. It groans and shivers, and the Clay Men avoid the place out of fear and respect. But you meet one of their number in the shattered chamber where the altar once stood...
>>>	Description	The Clay Man swallows the coins in handfuls - for safety, not out of appetite, you assume - and hands you a crate of whispering souls. Human? The souls back home are all but silent. Perhaps these are the souls of chairs, hats, swords. That's Polythreme for you. [Return to the Blind Bruiser in London. Don't lose your cargo.]
>>>	Teaser	The Clay Man swallows the coins in handfuls - for safety, not out of appetite, you assume - and hands you a crate of whispering souls...
>>>	Name	What souls are these?
>>	Name	Collect the Cheery Man's cargo
>>	Description	Are they passengers, or cargo? They're certainly the easiest passengers imaginable. Unless - just unless - one turns out to be an Unfinished Man. [You should have 6 units of cargo space available.]
>>>	Description	Each one lies down in its appointed position next to the other, nested snugly, head by foot. "WE ARE FOR LONDON," one explains to you.
>>>	Teaser	Each one lies down in its appointed position next to the other, nested snugly, head by foot...
>>>	Name	They troop aboard
>>	Name	Carry Clay Men to London
>>	Description	Who knows what the living furniture will make of it?
>>>	Description	The last you see of your violet murder-fungus, it seems to be flirting with a fanged water-pump. Strange bedfellows.
>>>	Teaser	The last you see of your violet murder-fungus, it seems to be flirting with a fanged water-pump...
>>>	Name	Curious alliances
>>	Name	Put a blemmigan ashore
>>	Description	The Clay Broker, leaning on his copper staff, examines you coolly. "The King will see your little friend," he says. "No, he won't see you: not just now." He gestures for you to hand him the Watchful Curio.
>>>	Description	That night, the hill of Polythreme quakes. The words on the walls uncurl themselves. The birth-cries are everywhere heard, as Clay Men sit up, opening incurious eyes, awaiting their tithing to London.\r\n\r\nThe Clay Broker waits on the quayside. On the flat palm of his broad hand, the Watchful Curio squats: but it is changed. "Our regards to Stone," is all he says.
>>>	Teaser	That night, the hill of Polythreme quakes...
>>>	Name	That night
>>	Name	An audience with the King with the Hundred Hearts
>>	Description	Their abundance of life offers many artistic possibilities.
>>>	Description	The Modiste stalks her prey past chittering rocks and wailing pools. Living shirts. Walking trousers. A lonely left shoe seeking a partner. All immediately rip and tear at even her exploratory cuts and stitches, their strange zest gone like the popping of a soap-bubble.\r\n\r\n"This will not do," she declares, discarding another reject. "Clearly, I must petition the King! If it is in his power to animate these miserable rags, he can certainly do a better job. Excuse me, Captain. I shall return presently."
>>>	Teaser	The Modiste stalks her prey past chittering rocks and wailing pools...
>>>	Name	A thinness of resolve
>>	Name	Hunt clothes-colonies with the Modiste
>>	Description	The tavern patrons are so raucous, the sobbing of the cups seems well-behaved in comparison. Evidently, the zailors will soon travel Wrack on a lucrative contract... 
>>>	Description	The captain is buying rounds for everyone, despite the beer's gurgled prayers for deliverance. His zailors dance on a table that groans and whimpers. The captain welcomes you with a clap on the back, and asks you what you'd like to drink on this happy occasion. Perhaps not so happy, you say...\r\n\r\nBy the end of your story, the captain and his zailors are all groaning in unison with the rest of Polythreme. Nevertheless, after he blows his nose into a demoralised handkerchief, he conveys his thanks, and passes you a small - but exceedingly noisy - reward. It should quiet once you leave the isle.
>>>	Teaser	The captain is buying rounds for everyone, despite the beer's gurgled prayers for deliverance...
>>	Name	Warn some merchants about Wrack
>>	Description	He stands on deck and cannot look away from the shore.
>>>	Description	At the shoreline, the Polythreme Exile plunges his hands into the damp mud and scrapes. When he comes away, his palms already look more like clay.\r\n\r\nTAKE A FEW DAYS, he says. ITCHY. BUT IT WILL GO BACK.\r\n\r\nHe gets a box out of his traveling chest and offers it to you. SOME THINGS I GOT FROM THE BONE MEN AT ANTHE. THEY THOUGHT THEY WERE STRONGER THAN ME. THEY WERE WRONG.
>>>	Teaser	At the shoreline, the Polythreme Exile plunges his hands into the damp mud and scrapes...
>>>	Name	At home once more
>>	Name	Deliver the Polythreme Exile
>>	Description	Enough time in Polythreme, and your sharpness will dissolve back to flesh. [This will not change your Capacity for Sharpness or remove any permanent Anthean Advantage you may carry.]
>>>	Description	The blood flows. The flesh bends. Your discipline and skill decrease, your desire and feeling return.
>>>	Teaser	The blood flows...
>>>	Name	Warm and flexible again
>>	Name	Cure the sharpness you gained in Anthe
>>	Description	The ancient captain in Venderbight said this would advance her search for "Lady Black."
>>>	Description	The Clay Men profess ignorance. The benches wail too much to be sensible. But there is an ancient, long-winded harbour-wall that remembers. "THE HOUSE OF THE KEEL MADE EXILES OF THEMSELVES," it says in deep, crotchety tones. "THEY BOARDED THEIR SHIPS AND TOOK TO THE ZEE. THEN, FAR FROM LAND, THEY TOOK AXES THEIR SHIPS, SANK THEM, AND FOLLOWED THEM - MAN, WOMAN, CHILD - INTO THE DEPTHS. IN ABYSSES THEY BUILT THEIR FATHOMLESS CHURCHES, AND RESUMED THEIR WORSHIP OF LADY BLACK, SPIRIT OF THE DEEPS."\r\n\r\nThe Unsettled Salvager holds onto your arm for support as you walk back to your ship. "I need to dive again," she whispers. "Grant me a suit. Please, [q:Addressed As]." You do have one in your possession. You could allow it, next time you set zail.
>>>	Teaser	The Clay Men profess ignorance...
>>>	Name	When flesh carved stone
>>	Name	Ask about the House of the Keel for the Unsettled Salvager
>	Name	Polythreme
>	Description	Nuppmiddt built this place as a prison for the Khanate. Now it answers only to its Governor, and its Governor answers to no one.
>	Teaser	Nuppmiddt built this place as a prison for the Khanate...
>>	Description	"Worracoovaprisnz," he says dangerously. "Lemmesithertow!"
>>>	Description	"Oh, yes," the Unctuous Fellow assures you. "We value enthusiasm over... formal qualifications. The knot-oracles are always hungry, but they are also delicate in their tastes. Their - meals - must be prepared assiduously."\r\n\r\n"I understand this fellow is indentured to you? Well, we have collected tremendous stores of knowledge from the oracles. <i>Tremendous</i>. Let me give you some of my notes. And we will of course replenish your stores. Thank you so much."\r\n\r\nThe Cook darts eagerly into the prison as soon as the doors are opened. He doesn't even say goodbye.
>>>	Teaser	"Oh, yes," the Unctuous Fellow assures you...
>>>	Name	A warm welcome
>>	Name	Let the Shady Cook go ashore
>>	Description	"Oh, no, we'll pay <i>you</i>," the Unctuous Fellow says. "We can always find a use for another pair of hands. We get lonely, you know. Lonely."
>>>	Description	Someone, somewhere, is screaming. The Unctuous Fellow clucks sadly. "Gruel on Thursdays. Someone really doesn't like gruel."\r\n\r\nIs it a Thursday? "I don't know. I lose track. Perhaps, then, the gruel's a little nasty. Thank you for your contribution. Here's your payment. Good day."
>>>	Teaser	Someone, somewhere, is screaming...
>>>	Name	What awaits your prisoner?
>>	Name	Hand over a Prisoner
>>	Description	Wisdom has many, many secrets - far more than one might expect them to glean from the prisoners. But a discerning scholar might identify a secret which would tempt even the Governor of the prison. [This is unlikely to be profitable, unless you have someone specific in mind.]
>>>	Description	The Unctuous Fellow listens closely to your promises. At last he leads you into the heart of Wisdom, through five gates with locks of brass and iron, to the Governor's office.\r\n\r\nThe Governor sits rigid in a high-backed chair. His manner of dress is Khaganian; his face is concealed behind a smooth mask. He coughs frequently as you detail your Enigma, raising his gloved hand to his mouth. The room smells of mould and bat-guano.\r\n\r\n"That's (cough) enough," he says at last. "Choose your prisoner."
>>>	Teaser	The Unctuous Fellow listens closely to your promises...
>>>	Name	An audience with the Governor
>>	Name	Exchange a Secret for a Prisoner
>>	Description	High, smooth walls with no obvious cracks or tendril-holds. Outflow pipes guarded by the zee. If the blemmigan can break in, its talents are wasted on mere propagation.
>>>	Description	The blemmigan stands at the gate and gives out a continuous noise, just on the edge of hearing. That's annoying. Really annoying. Just stop, will you? Oh, get back on the ship - they're clearly not letting you in.
>>>	Teaser	The blemmigan stands at the gate and gives out a continuous noise, just on the edge of hearing...
>>>	Name	Not the approach you expected
>>	Name	Put a blemmigan ashore
>>	Description	Watch the comings and goings.
>>>	Description	Ships from the Khanate are most common, but you see Chelonite vessels, Polythreme triremes with chained and sulky Unfinished Men, corsairs disposing of their miscreants, even one furtive Iremi skiff. The wardens pay them well for their prisoners.
